"Category","City","Country","Customer Name","Manufacturer","Order Date","Order ID","Postal Code","Product Name","Region","Segment","Ship Date","Ship Mode","State","Sub-Category","Discount","Number of Records","Profit","Profit Ratio","Quantity","Sales","Column22","Profit_Amount","Formatted_Order_Date","Sales_Amount","Profit_Amount:1","Formatted_Order_Date:1"
Office Supplies,Houston,United States,Darren Powers,Message Book,"1/4/11",CA-2011-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,"1/8/11",Standard Class,Texas,Paper,"20%",1,US$6 ,"34%",2,US$16 ,"",6,"2011-04-01",16,6,"2011-04-01"
Office Supplies,Naperville,United States,Phillina Ober,GBC,"1/5/11",CA-2011-112326,60540,GBC Standard Plastic Binding Systems Combs,Central,Home Office,"1/9/11",Standard Class,Illinois,Binders,"80%",1,(US$5),-155%,2,US$4 ,"",-5,"2011-05-01",4,-5,"2011-05-01"
Office Supplies,Naperville,United States,Phillina Ober,Avery,"1/5/11",CA-2011-112326,60540,Avery 508,Central,Home Office,"1/9/11",Standard Class,Illinois,Labels,"20%",1,US$4 ,"36%",3,US$12 ,"",4,"2011-05-01",12,4,"2011-05-01"
Office Supplies,Naperville,United States,Phillina Ober,SAFCO,"1/5/11",CA-2011-112326,60540,SAFCO Boltless Steel Shelving,Central,Home Office,"1/9/11",Standard Class,Illinois,Storage,"20%",1,(US$65),-24%,3,US$273 ,"",-65,"2011-05-01",273,-65,"2011-05-01"
Office Supplies,Philadelphia,United States,Mick Brown,Avery,"1/6/11",CA-2011-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,"1/13/11",Standard Class,Pennsylvania,Art,"20%",1,US$5 ,"25%",3,US$20 ,"",5,"2011-06-01",20,5,"2011-06-01"
Office Supplies,Athens,United States,Jack O'Briant,Dixon,"1/7/11",CA-2011-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,"1/8/11",First Class,Georgia,Art,"0%",1,US$5 ,"41%",3,US$13 ,"",5,"2011-07-01",13,5,"2011-07-01"
Office Supplies,Los Angeles,United States,Lycoris Saunders,Xerox,"1/7/11",CA-2011-130813,90049,Xerox 225,West,Consumer,"1/9/11",Second Class,California,Paper,"0%",1,US$9 ,"48%",3,US$19 ,"",9,"2011-07-01",19,9,"2011-07-01"
Furniture,Henderson,United States,Maria Etezadi,Global,"1/7/11",CA-2011-167199,42420,Global Deluxe High-Back Manager's Chair,South,Home Office,"1/11/11",Standard Class,Kentucky,Chairs,"0%",1,US$746 ,"29%",9,"US$2,574 ","",746,"2011-07-01",2,746,"2011-07-01"
Office Supplies,Henderson,United States,Maria Etezadi,Rogers,"1/7/11",CA-2011-167199,42420,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,"1/11/11",Standard Class,Kentucky,Art,"0%",1,US$1 ,"27%",2,US$5 ,"",1,"2011-07-01",5,1,"2011-07-01"
Office Supplies,Henderson,United States,Maria Etezadi,Ibico,"1/7/11",CA-2011-167199,42420,Ibico Hi-Tech Manual Binding System,South,Home Office,"1/11/11",Standard Class,Kentucky,Binders,"0%",1,US$274 ,"45%",2,US$610 ,"",274,"2011-07-01",610,274,"2011-07-01"
